date,category,product,units,unit_price,revenue
2024-01-03,Beauty,Face Cream,2,727,1454
2024-01-03,Electronics,Smartphone,4,4438,17752
2024-01-03,Grocery,Rice,2,771,1542
2024-01-03,Electronics,Headphones,2,2607,5214
2024-01-03,Grocery,Cereal,3,135,405
2024-01-03,Fashion,Jacket,4,1836,7344
2024-01-03,Fashion,Sneakers,2,768,1536
2024-01-03,Electronics,Smartphone,2,5382,10764
2024-01-03,Grocery,Rice,2,401,802
2024-01-03,Beauty,Perfume,4,381,1524
2024-01-03,Grocery,Cereal,1,259,259
2024-01-03,Beauty,Face Cream,1,888,888
2024-01-03,Electronics,Laptop,1,1713,1713
2024-01-03,Electronics,Smartwatch,3,2347,7041
2024-01-03,Home,Chair,3,807,2421
2024-01-03,Beauty,Face Cream,2,788,1576
2024-01-03,Electronics,Smartwatch,1,4978,4978
2024-01-03,Beauty,Perfume,1,1183,1183
2024-01-03,Fashion,Jeans,1,637,637
2024-01-03,Home,Chair,4,1698,6792
2024-01-03,Electronics,Smartwatch,3,1634,4902
2024-01-03,Electronics,Laptop,4,4763,19052
2024-01-03,Fashion,T-Shirt,4,636,2544
2024-01-03,Electronics,Laptop,1,4618,4618
2024-01-03,Beauty,Face Cream,3,1192,3576
2024-01-03,Grocery,Pasta,2,728,1456
2024-01-03,Grocery,Rice,2,291,582
2024-01-03,Grocery,Rice,1,564,564
2024-01-03,Electronics,Headphones,4,4180,16720
2024-01-03,Fashion,Jeans,4,696,2784
2024-01-03,Home,Bedsheet,3,888,2664
2024-01-03,Beauty,Shampoo,1,133,133
2024-01-03,Home,Chair,4,2366,9464
2024-01-03,Beauty,Perfume,2,281,562
2024-01-03,Beauty,Face Cream,4,1047,4188
2024-01-03,Beauty,Shampoo,3,912,2736
2024-01-03,Beauty,Perfume,3,921,2763
2024-01-03,Home,Bedsheet,4,1277,5108
2024-01-03,Beauty,Perfume,1,227,227
2024-01-03,Fashion,Sneakers,4,1129,4516
2024-01-03,Fashion,Jacket,3,1890,5670
2024-01-03,Fashion,Sneakers,1,1314,1314
2024-01-03,Home,Bedsheet,2,448,896
2024-01-03,Fashion,Sneakers,2,1630,3260
2024-01-03,Home,Lamp,1,1899,1899
2024-01-03,Electronics,Smartphone,2,4890,9780
2024-01-03,Fashion,Jacket,2,1166,2332
2024-01-03,Fashion,T-Shirt,1,413,413
2024-01-03,Home,Bedsheet,1,814,814
2024-01-03,Fashion,Sneakers,1,882,882
2024-01-03,Beauty,Perfume,2,197,394
2024-01-03,Electronics,Smartwatch,4,2870,11480
2024-01-03,Beauty,Perfume,1,298,298
2024-01-03,Fashion,Sneakers,3,570,1710
2024-01-03,Home,Bedsheet,1,2137,2137
2024-01-03,Home,Lamp,2,1627,3254
2024-01-03,Electronics,Headphones,1,5532,5532
2024-01-03,Beauty,Perfume,1,605,605
2024-01-03,Fashion,Jacket,3,614,1842
2024-01-03,Fashion,Jeans,2,1551,3102
2024-01-03,Electronics,Headphones,2,5730,11460
2024-01-03,Grocery,Pasta,4,470,1880
2024-01-03,Grocery,Pasta,1,187,187
2024-01-03,Grocery,Cereal,4,214,856
2024-01-03,Fashion,T-Shirt,1,1798,1798
2024-01-03,Beauty,Shampoo,4,622,2488
2024-01-03,Grocery,Olive Oil,1,231,231
2024-01-03,Beauty,Soap,4,285,1140
2024-01-03,Beauty,Perfume,1,489,489
2024-01-03,Home,Bedsheet,4,1702,6808
2024-01-03,Fashion,T-Shirt,4,1249,4996
2024-01-03,Electronics,Laptop,2,5970,11940
2024-01-03,Grocery,Cereal,2,206,412
2024-01-03,Fashion,T-Shirt,3,1436,4308
2024-01-03,Grocery,Pasta,3,519,1557
2024-01-03,Beauty,Perfume,4,852,3408
2024-01-03,Beauty,Perfume,3,1083,3249
2024-01-03,Home,Chair,1,1952,1952
2024-01-03,Fashion,Sneakers,2,1543,3086
2024-01-03,Grocery,Cereal,3,603,1809
2024-01-03,Beauty,Face Cream,3,489,1467
2024-01-03,Grocery,Pasta,2,188,376
2024-01-03,Home,Lamp,4,971,3884
2024-01-03,Fashion,Jacket,4,659,2636
2024-01-03,Fashion,Jacket,4,675,2700
2024-01-03,Electronics,Smartphone,3,2775,8325
2024-01-03,Fashion,Jacket,3,1273,3819
2024-01-03,Home,Bedsheet,3,441,1323
2024-01-03,Beauty,Perfume,3,145,435
2024-01-03,Grocery,Olive Oil,1,527,527
2024-01-03,Beauty,Soap,3,708,2124
2024-01-03,Grocery,Pasta,2,333,666
2024-01-03,Beauty,Soap,1,1176,1176
2024-01-03,Home,Cookware,3,531,1593
2024-01-03,Grocery,Olive Oil,2,551,1102
2024-01-03,Fashion,Sneakers,3,980,2940
2024-01-03,Beauty,Face Cream,1,128,128
2024-01-03,Fashion,Sneakers,3,614,1842
2024-01-03,Home,Bedsheet,2,1291,2582
2024-01-03,Electronics,Smartwatch,4,2192,8768
2024-01-03,Beauty,Face Cream,3,269,807
2024-01-03,Home,Lamp,2,791,1582
2024-01-03,Electronics,Laptop,3,5246,15738
2024-01-03,Grocery,Rice,1,580,580
2024-01-03,Beauty,Shampoo,3,222,666
2024-01-03,Home,Lamp,1,953,953
2024-01-03,Grocery,Rice,2,570,1140
2024-01-03,Home,Bedsheet,2,2360,4720
2024-01-04,Fashion,Jeans,4,1682,6728
2024-01-04,Fashion,T-Shirt,1,1806,1806
2024-01-04,Fashion,Jeans,1,508,508
2024-01-04,Electronics,Smartphone,3,5328,15984
2024-01-04,Home,Cookware,4,623,2492
2024-01-04,Fashion,Jacket,1,1262,1262
2024-01-04,Grocery,Pasta,4,511,2044
2024-01-04,Fashion,Jeans,2,1600,3200
2024-01-04,Grocery,Rice,1,554,554
2024-01-04,Home,Lamp,4,685,2740
2024-01-04,Electronics,Smartphone,3,4646,13938
2024-01-04,Electronics,Smartphone,4,5630,22520
2024-01-04,Beauty,Soap,3,631,1893
2024-01-04,Beauty,Face Cream,3,925,2775
2024-01-04,Fashion,Jacket,1,1536,1536
2024-01-04,Beauty,Perfume,2,431,862
2024-01-04,Fashion,Jacket,2,1722,3444
2024-01-04,Home,Chair,3,992,2976
2024-01-04,Home,Bedsheet,1,302,302
2024-01-04,Grocery,Cereal,4,644,2576
2024-01-04,Electronics,Smartphone,1,5235,5235
2024-01-04,Fashion,T-Shirt,3,1337,4011
2024-01-04,Electronics,Headphones,2,5515,11030
2024-01-04,Grocery,Rice,2,556,1112
2024-01-04,Fashion,Sneakers,2,488,976
2024-01-04,Beauty,Perfume,4,154,616
2024-01-04,Home,Lamp,3,553,1659
2024-01-04,Grocery,Rice,4,773,3092
2024-01-04,Home,Bedsheet,2,397,794
2024-01-04,Electronics,Smartphone,4,3607,14428
2024-01-04,Beauty,Shampoo,2,693,1386
2024-01-04,Fashion,Jacket,3,1009,3027
2024-01-04,Grocery,Rice,1,251,251
2024-01-04,Home,Cookware,2,1089,2178
2024-01-04,Grocery,Pasta,4,365,1460
2024-01-04,Home,Chair,3,1292,3876
2024-01-04,Fashion,Sneakers,2,1454,2908
2024-01-04,Beauty,Face Cream,1,450,450
2024-01-04,Grocery,Olive Oil,3,704,2112
2024-01-04,Home,Cookware,4,2118,8472
2024-01-04,Electronics,Laptop,4,1970,7880
2024-01-04,Beauty,Face Cream,1,1177,1177
2024-01-04,Home,Lamp,1,1537,1537
2024-01-04,Fashion,Jeans,2,1763,3526
2024-01-04,Grocery,Rice,4,755,3020
2024-01-04,Beauty,Face Cream,1,845,845
2024-01-04,Grocery,Cereal,4,250,1000
2024-01-04,Electronics,Smartwatch,3,5063,15189
2024-01-04,Beauty,Soap,4,540,2160
2024-01-04,Grocery,Pasta,3,546,1638
2024-01-04,Beauty,Face Cream,1,259,259
2024-01-04,Beauty,Soap,2,882,1764
2024-01-04,Home,Cookware,2,1445,2890
2024-01-04,Grocery,Olive Oil,2,538,1076
2024-01-04,Home,Bedsheet,3,1315,3945
2024-01-04,Beauty,Shampoo,2,651,1302
2024-01-04,Electronics,Headphones,4,3804,15216
2024-01-04,Grocery,Cereal,4,507,2028
2024-01-04,Beauty,Perfume,1,513,513
2024-01-04,Fashion,Jeans,1,1989,1989
2024-01-04,Fashion,Jeans,1,882,882
2024-01-04,Fashion,Jacket,1,1739,1739
2024-01-04,Electronics,Smartwatch,4,5716,22864
2024-01-04,Beauty,Perfume,1,1188,1188
2024-01-04,Electronics,Smartwatch,2,2799,5598
2024-01-04,Electronics,Smartwatch,3,2399,7197
2024-01-04,Grocery,Cereal,4,533,2132
2024-01-04,Home,Lamp,3,1500,4500
2024-01-04,Beauty,Soap,2,945,1890
2024-01-04,Grocery,Pasta,2,295,590
2024-01-04,Electronics,Headphones,2,4757,9514
2024-01-04,Electronics,Smartwatch,1,5258,5258
2024-01-04,Beauty,Shampoo,3,534,1602
2024-01-04,Home,Cookware,1,819,819
2024-01-04,Fashion,T-Shirt,3,501,1503
2024-01-04,Fashion,Jacket,1,1259,1259
2024-01-04,Grocery,Cereal,4,556,2224
2024-01-04,Electronics,Smartphone,2,2004,4008
2024-01-04,Home,Cookware,3,1995,5985
2024-01-04,Grocery,Rice,3,229,687
2024-01-04,Electronics,Smartphone,1,5135,5135
2024-01-04,Home,Cookware,2,536,1072
2024-01-04,Grocery,Olive Oil,4,755,3020
2024-01-04,Electronics,Smartphone,1,3806,3806
2024-01-04,Home,Bedsheet,1,1702,1702
2024-01-04,Grocery,Cereal,2,446,892
2024-01-04,Home,Lamp,4,1726,6904
2024-01-04,Beauty,Face Cream,3,952,2856
2024-01-04,Fashion,Sneakers,4,1460,5840
2024-01-04,Home,Chair,3,2086,6258
2024-01-04,Electronics,Laptop,3,3704,11112
2024-01-04,Fashion,T-Shirt,3,717,2151
2024-01-04,Fashion,Jacket,4,836,3344
2024-01-04,Beauty,Shampoo,3,474,1422
2024-01-04,Electronics,Smartwatch,1,4774,4774
2024-01-04,Home,Chair,2,624,1248
2024-01-04,Fashion,Sneakers,3,603,1809
2024-01-04,Electronics,Headphones,3,3402,10206
2024-01-04,Electronics,Smartwatch,1,2427,2427
2024-01-05,Fashion,T-Shirt,3,770,2310
2024-01-05,Fashion,Jacket,2,679,1358
2024-01-05,Electronics,Headphones,4,3474,13896
2024-01-05,Fashion,Jeans,3,494,1482
2024-01-05,Home,Lamp,2,1337,2674
2024-01-05,Beauty,Soap,4,617,2468
2024-01-05,Electronics,Laptop,2,1571,3142
2024-01-05,Grocery,Pasta,4,486,1944
2024-01-05,Electronics,Laptop,4,2513,10052
2024-01-05,Beauty,Perfume,1,459,459
2024-01-05,Grocery,Olive Oil,2,524,1048
2024-01-05,Fashion,Jacket,1,1383,1383
2024-01-05,Electronics,Laptop,1,1760,1760
2024-01-05,Beauty,Shampoo,1,309,309
2024-01-05,Beauty,Soap,2,271,542
2024-01-05,Home,Cookware,2,2412,4824
2024-01-05,Beauty,Perfume,3,587,1761
2024-01-05,Fashion,Jacket,3,1373,4119
2024-01-05,Beauty,Soap,2,736,1472
2024-01-05,Beauty,Soap,3,680,2040
2024-01-05,Beauty,Soap,1,926,926
2024-01-05,Fashion,T-Shirt,2,676,1352
2024-01-05,Grocery,Olive Oil,1,549,549
2024-01-05,Beauty,Shampoo,1,1117,1117
2024-01-05,Fashion,Jacket,2,539,1078
2024-01-05,Grocery,Rice,1,229,229
2024-01-05,Fashion,T-Shirt,3,738,2214
2024-01-05,Fashion,Jeans,1,589,589
2024-01-05,Beauty,Perfume,3,1034,3102
2024-01-05,Fashion,Sneakers,2,536,1072
2024-01-05,Home,Lamp,1,1651,1651
2024-01-05,Beauty,Shampoo,3,1056,3168
2024-01-05,Fashion,T-Shirt,1,1260,1260
2024-01-05,Home,Lamp,1,2445,2445
2024-01-05,Beauty,Shampoo,1,1006,1006
2024-01-05,Home,Bedsheet,2,2470,4940
2024-01-05,Grocery,Olive Oil,4,507,2028
2024-01-05,Home,Cookware,2,2003,4006
2024-01-05,Home,Chair,2,1041,2082
2024-01-05,Beauty,Shampoo,2,1182,2364
2024-01-05,Fashion,Sneakers,1,1454,1454
2024-01-05,Electronics,Laptop,3,3355,10065
2024-01-05,Home,Bedsheet,4,1356,5424
2024-01-05,Fashion,T-Shirt,2,731,1462
2024-01-05,Home,Cookware,4,1302,5208
2024-01-05,Home,Chair,2,1343,2686
2024-01-05,Fashion,Jacket,2,1600,3200
2024-01-05,Beauty,Soap,3,398,1194
2024-01-05,Beauty,Shampoo,3,353,1059
2024-01-05,Grocery,Pasta,2,271,542
2024-01-05,Electronics,Smartphone,2,5813,11626
2024-01-05,Home,Cookware,1,570,570
2024-01-05,Home,Chair,1,2141,2141
2024-01-05,Fashion,Jacket,1,605,605
2024-01-05,Beauty,Perfume,2,302,604
2024-01-05,Fashion,T-Shirt,1,699,699
2024-01-05,Beauty,Shampoo,3,1013,3039
2024-01-05,Grocery,Rice,2,541,1082
2024-01-05,Home,Chair,3,1212,3636
2024-01-05,Fashion,T-Shirt,4,509,2036
2024-01-05,Fashion,Sneakers,3,1608,4824
2024-01-05,Fashion,Jacket,4,1433,5732
2024-01-05,Home,Lamp,3,1295,3885
2024-01-05,Beauty,Shampoo,2,433,866
2024-01-05,Grocery,Pasta,4,527,2108
2024-01-05,Electronics,Smartphone,3,4620,13860
2024-01-05,Electronics,Smartwatch,4,3510,14040
2024-01-05,Fashion,Sneakers,4,1732,6928
2024-01-05,Beauty,Face Cream,3,630,1890
2024-01-05,Grocery,Rice,4,749,2996
2024-01-05,Grocery,Olive Oil,2,616,1232
2024-01-05,Grocery,Olive Oil,3,745,2235
2024-01-05,Grocery,Cereal,2,415,830
2024-01-05,Fashion,T-Shirt,2,1339,2678
2024-01-05,Home,Bedsheet,4,774,3096
2024-01-05,Electronics,Headphones,1,5734,5734
2024-01-05,Fashion,Sneakers,1,892,892
2024-01-05,Fashion,T-Shirt,2,1911,3822
2024-01-05,Beauty,Face Cream,2,429,858
2024-01-05,Fashion,Jeans,1,1422,1422
2024-01-05,Beauty,Shampoo,2,1048,2096
2024-01-05,Beauty,Face Cream,1,1019,1019
2024-01-05,Fashion,Jacket,4,786,3144
2024-01-05,Beauty,Perfume,3,466,1398
2024-01-05,Grocery,Rice,2,453,906
2024-01-05,Grocery,Olive Oil,3,333,999
2024-01-05,Electronics,Smartphone,1,2349,2349
2024-01-05,Fashion,T-Shirt,4,1975,7900
2024-01-05,Fashion,T-Shirt,3,808,2424
2024-01-05,Electronics,Headphones,1,1747,1747
2024-01-05,Beauty,Shampoo,3,600,1800
2024-01-05,Grocery,Pasta,1,661,661
2024-01-05,Electronics,Laptop,3,2303,6909
2024-01-05,Electronics,Smartwatch,1,2412,2412
2024-01-05,Grocery,Cereal,4,445,1780
2024-01-05,Grocery,Cereal,1,257,257
2024-01-05,Fashion,Sneakers,3,974,2922
2024-01-05,Home,Lamp,1,1448,1448
2024-01-05,Home,Lamp,3,1665,4995
2024-01-05,Fashion,T-Shirt,1,1783,1783
2024-01-06,Electronics,Headphones,1,2128,2128
2024-01-06,Home,Cookware,4,2334,9336
2024-01-06,Grocery,Rice,4,600,2400
2024-01-06,Fashion,Jacket,4,1280,5120
2024-01-06,Electronics,Laptop,3,5721,17163
2024-01-06,Grocery,Rice,3,596,1788
2024-01-06,Electronics,Smartwatch,2,3857,7714
2024-01-06,Beauty,Soap,1,1167,1167
2024-01-06,Fashion,T-Shirt,3,1142,3426
2024-01-06,Electronics,Headphones,4,5760,23040
2024-01-06,Home,Lamp,2,2338,4676
2024-01-06,Electronics,Laptop,1,4398,4398
2024-01-06,Home,Bedsheet,2,456,912
2024-01-06,Home,Cookware,4,1037,4148
2024-01-06,Home,Bedsheet,4,1282,5128
2024-01-06,Fashion,Jeans,2,585,1170
2024-01-06,Fashion,T-Shirt,1,644,644
2024-01-06,Grocery,Pasta,2,246,492
2024-01-06,Grocery,Olive Oil,3,398,1194
2024-01-06,Fashion,Sneakers,1,1442,1442
2024-01-06,Grocery,Rice,4,326,1304
2024-01-06,Electronics,Smartphone,1,5310,5310
2024-01-06,Home,Bedsheet,1,1226,1226
2024-01-06,Electronics,Smartwatch,3,5252,15756
2024-01-06,Fashion,Jacket,3,855,2565
2024-01-06,Fashion,Jacket,2,1969,3938
2024-01-06,Beauty,Perfume,4,219,876
2024-01-06,Electronics,Headphones,2,1850,3700
2024-01-06,Electronics,Smartphone,1,2180,2180
2024-01-06,Fashion,T-Shirt,3,1912,5736
2024-01-06,Electronics,Headphones,3,3965,11895
2024-01-06,Beauty,Soap,4,904,3616
2024-01-06,Electronics,Smartphone,2,2080,4160
2024-01-06,Fashion,Jeans,2,1962,3924
2024-01-06,Electronics,Headphones,3,3314,9942
2024-01-06,Grocery,Rice,2,360,720
2024-01-06,Grocery,Pasta,2,422,844
2024-01-06,Electronics,Smartwatch,4,1750,7000
2024-01-06,Grocery,Pasta,1,495,495
2024-01-06,Beauty,Shampoo,4,440,1760
2024-01-06,Beauty,Soap,3,569,1707
2024-01-06,Home,Cookware,3,658,1974
2024-01-06,Beauty,Perfume,1,495,495
2024-01-06,Electronics,Smartwatch,1,4223,4223
2024-01-06,Home,Lamp,2,372,744
2024-01-06,Fashion,T-Shirt,2,1005,2010
2024-01-06,Fashion,Sneakers,1,543,543
2024-01-06,Fashion,Jacket,3,1985,5955
2024-01-06,Home,Bedsheet,4,2002,8008
2024-01-06,Home,Cookware,4,1255,5020
2024-01-06,Home,Cookware,1,2344,2344
2024-01-06,Beauty,Soap,3,418,1254
2024-01-06,Electronics,Headphones,3,4509,13527
2024-01-06,Grocery,Cereal,2,626,1252
2024-01-06,Beauty,Shampoo,2,1168,2336
2024-01-06,Beauty,Face Cream,4,1049,4196
2024-01-06,Beauty,Face Cream,2,176,352
2024-01-06,Grocery,Pasta,2,134,268
2024-01-06,Home,Bedsheet,2,2112,4224
2024-01-06,Home,Cookware,4,2428,9712
2024-01-06,Electronics,Headphones,4,5669,22676
2024-01-06,Fashion,Jeans,1,821,821
2024-01-06,Fashion,Jeans,3,1553,4659
2024-01-06,Electronics,Smartwatch,2,1555,3110
2024-01-06,Electronics,Laptop,4,3205,12820
2024-01-06,Fashion,T-Shirt,3,917,2751
2024-01-06,Grocery,Pasta,4,599,2396
2024-01-06,Home,Chair,4,1361,5444
2024-01-06,Beauty,Shampoo,4,827,3308
2024-01-06,Fashion,Sneakers,2,968,1936
2024-01-06,Fashion,T-Shirt,3,1837,5511
2024-01-06,Home,Lamp,2,1738,3476
2024-01-06,Grocery,Olive Oil,3,659,1977
2024-01-06,Grocery,Cereal,2,695,1390
2024-01-06,Beauty,Perfume,2,626,1252
2024-01-06,Grocery,Pasta,2,231,462
2024-01-06,Fashion,Jeans,3,1021,3063
2024-01-06,Beauty,Soap,4,406,1624
2024-01-06,Fashion,Jeans,1,1855,1855
2024-01-06,Home,Chair,2,2470,4940
2024-01-06,Electronics,Headphones,4,3496,13984
2024-01-06,Electronics,Laptop,3,1864,5592
2024-01-06,Beauty,Perfume,4,686,2744
2024-01-06,Electronics,Headphones,4,1945,7780
2024-01-06,Home,Bedsheet,2,713,1426
2024-01-06,Home,Bedsheet,4,505,2020
2024-01-06,Home,Cookware,4,943,3772
2024-01-06,Electronics,Laptop,2,4140,8280
